Task Name,Description,Status,Priority,Assignee,Tags,Estimate,Due Date
BE-01 Project scaffold (Spring Boot),"Spring Initializr (Web, Validation, Data JPA, Mail, Lombok). Package structure: controller/service/agent/model/repository/dto/config/util. application.yml + local profile. Done: ./mvnw spring-boot:run starts empty app on :8080. Dependency: none.",to do,Urgent,Aykut,setup,0.5d,
BE-02 Local infra: PostgreSQL + config,"docker-compose.yml (PostgreSQL), .env.example, datasource config. Done: docker compose up -d then app connects to DB. Dependency: BE-01.",to do,Urgent,Aykut,setup;infra,0.5d,
BE-03 Data model / entities,"Case, ApplicationDocument, ValidationResult, AuditLogEntry, enums (CaseStatus, Recommendation) per PROJECT_OVERVIEW data model. Done: entities compile, relations correct. Dependency: BE-01.",to do,High,Aykut,backend;model,1d,
BE-04 Repositories + Flyway migration,"JPA repositories; Flyway initial schema (V1__init.sql). Done: migration runs, tables created. Dependency: BE-03.",to do,High,Aykut,backend;db,0.5d,
BE-05 Case REST API (CRUD + list/filter),"GET /cases (status/search/page/size), GET /cases/{id}, DTOs. Done: list and detail endpoints match API contract. Dependency: BE-04.",to do,High,Aykut,backend;api,1d,
BE-06 File upload & storage,"Multipart PDF upload to local filesystem, create ApplicationDocument, serve via GET /cases/{id}/documents/{docId}. PDF validation (type, size). Done: PDF uploaded and downloadable. Dependency: BE-05.",to do,High,Aykut,backend;files,1d,
BE-07 Vertex AI / Gemini integration config,"google-cloud-vertexai dependency; VertexAiConfig (projectId, region, model from env). GOOGLE_APPLICATION_CREDENTIALS service account; key in .gitignore. Ping test. Done: sample prompt returns a Gemini response. Dependency: BE-01.",to do,Urgent,Aykut,ai;vertex,1d,
BE-08 Document Extraction Agent (Gemini multimodal),"Send PDF pages to Gemini (multimodal), request structured JSON (student, id, field, company, supervisor, supervisor email, start/end dates). Map to Case fields; status EXTRACTING then updated. Endpoint POST /cases/{id}/extract. Done: fields extracted correctly from sample application PDF. Dependency: BE-06, BE-07.",to do,Urgent,Aykut,ai;agent,2d,
BE-09 Completeness Validation Agent,"Required-field checks (Java rules); produce ValidationResult(type=COMPLETENESS) listing missing fields. Done: missing-field case yields correct issue list. Dependency: BE-08.",to do,High,Aykut,agent;validation,1d,
BE-10 University Rules Agent (rules engine),"Configurable JSON rules: min/max internship duration, valid date range, field formats, supervisor email required. Produce ValidationResult(type=RULES); endpoint GET /cases/{id}/validation. Done: rule violations listed; rules read from config. Dependency: BE-09.",to do,Urgent,Aykut,agent;validation,2d,
BE-11 Decision Recommendation Agent,"Feed validation results + fields to Gemini to produce APPROVE/REJECT/CLARIFY + reasoning. Deterministic when rules clear; CLARIFY when ambiguous. Endpoint POST /cases/{id}/recommendation. Done: recommendation + reason generated and stored; status READY_FOR_REVIEW. Dependency: BE-10.",to do,Urgent,Aykut,ai;agent,1.5d,
BE-12 Clarification request generation,"Generate student clarification email DRAFT (Gemini) for missing/ambiguous fields. Endpoint POST /cases/{id}/clarification. Phase 1 returns draft; Phase 2 sends via SMTP. Done: meaningful personalized draft; status CLARIFICATION_REQUESTED. Dependency: BE-11.",to do,Normal,Aykut,agent;email,1d,
BE-13 Supervisor Verification Agent,"Generate supervisor verification email draft. Endpoint POST /cases/{id}/supervisor-verification; status PENDING_SUPERVISOR. Phase 1 draft; Phase 2 send. Done: draft addressed to supervisor email. Dependency: BE-11.",to do,Normal,Aykut,agent;email,1d,
BE-14 Coordinator decision + state machine (HITL),"POST /cases/{id}/decision (APPROVE/REJECT/CLARIFY + note). Enforce valid state transitions; no fully automated approval. Done: coordinator decision changes status; invalid transitions rejected. Dependency: BE-11.",to do,Urgent,Aykut,backend;workflow,1d,
BE-15 Audit log (cross-cutting),"AuditLogEntry for every status change/agent action/coordinator decision. Endpoint GET /cases/{id}/audit. Done: all events recorded with timestamp + actor and listed. Dependency: BE-05.",to do,High,Aykut,backend;audit,1d,
BE-16 Email Intake Agent (Phase 2),"IMAP/Gmail API to fetch incoming application emails, download PDF attachments, auto-create Case and trigger pipeline. Done: emailed attachment from test mailbox becomes a case. Dependency: BE-08.",to do,Normal,Aykut,phase2;email,2d,
BE-17 CORS + error handling + validation,"CORS for FE (:5173); global exception handler (contract error format); request validation. Done: FE calls work; errors return consistent JSON. Dependency: BE-05.",to do,High,Aykut,backend;api,0.5d,
BE-18 Test dataset (40 cases) + seed,"Per TDD: 10 valid, 10 incomplete, 10 rule violations, 10 ambiguous. Seed script / sample PDFs. Done: 40 cases loadable and behave per category. Dependency: BE-11.",to do,Normal,Aykut,testing;data,1.5d,
BE-19 Tests (unit + integration),"Unit tests for rules engine and state machine; MockMvc integration for endpoints; Gemini calls mocked. Done: ./mvnw test green; critical paths covered. Dependency: BE-14.",to do,High,Aykut,testing,2d,
BE-20 README + run instructions + test report,"Setup, env, run steps; test report template (extraction & rule accuracy metrics). Done: a new dev can run locally via README; report fillable. Dependency: BE-18, BE-19.",to do,Normal,Aykut,docs,1d,
